pull_request_id,user_id,body,github_comment_id
16311,66821,"I think auto-submitting to cause a full page refresh would be a pretty bad
experience, so I'd probably prefer they had to trigger the submit manually.",1343794
16311,67072,"I agree with Brad; either the *complete* experience, or an unadorned page-refreshing experience. I think a partially-working automatic filter would be confusing.

On 9 Aug 2012, at 17:02, Bradley Wright <notifications@github.com> wrote:

> In app/asse",1343812
16378,2065,"Added test to ensure single class is passed. Multiple classes gave false positive. 

e.g.
<div id=""id"" class=""class class2""></div>
$(""#id"").hasClass(""class class2"") => false",1343821
15999,10578,Remove this PHP block... not required.,1343830
16378,2065,"fallback for wildcard since there is no support to remove all classes and another loop didn't seem to make sense... there is an issue with the wildcard (existing) where removeClass(""*"") gives invalid argument error.

String(""*"").isEmpty() => true",1343854
10713,3764,"@dpobel I would better say no.

eZDebug::writeError() may log **RunTime** errors but is not really suitable for errors that is the direct result of bad programming and should fail hard like if a typo was made in a class or method name.",1343873
10755,16428,That's fine for now. I may merge them if I get some time.,1343878
16402,147404,"This is a minor bug fix, should be 0.1.1.



- list 1
- list 2

",1343881
16412,12194,Do not add a newline between if() and  the following statement. Check framework code about it. @rawtaz Check Yii source code about newlines. There is no Symfony/Zend/other code style.,1343903
8214,146172,"Done. Renamed ""timestamp"" to ""freeze-date"".

I'm actually setting ""build-date"" to the actual day that the image is built because it can differ from the freezedate.",1343919
13740,16703,Can we use something more descriptive than 1 and 0?,1343922
16412,12194,Remove space after commas.,1343934
16422,70144,"I think you might need to prefix the string with ^ like above, because of some other processing we do later on the chain with error messages.

Also, if we don't allow the comma at all in a collection title, the reserved string ',,' doesn't make sense, sin",1343938
10755,16428,"I'd like to keep the YourKit stuff out of the oae module.
You can deliver a custom setenv.sh.erb template via the setenv_template param to oae::app::server 

If you add the YK java arguments to localconfig/templates/oae-setenv.sh.erb then the oae module w",1343946
16427,15489,What a load of rubbish,1343949
15707,5148,"Yep, you are right, the problem is that we don't know if more headers have been added.
Another option is to create a 'refresh' method and call it from outside every time a new header is created/removed.
Makes sense for me.",1343950
16414,390580,Here's that bug I was talking about. Pipe character is a regexp special character. Needs to be escaped to match.,1343972
14904,224029,"good catch, thought i got everything.

On Thu, Aug 9, 2012 at 12:21 PM, Greg Sadowski <notifications@github.com>wrote:

> In GroupCommerce.SDK.V3.PublisherConsumerApp/Form1.Designer.cs:
>
> > @@ -812,6 +860,12 @@ private void InitializeComponent()
",1343998
15343,5446,"Good catch, I'll fix the debug message in #48.",1344003
16414,19859,"This should be changed to:

    ""CONSOLE: Toggling downfall (on|off) for world|Toggled downfall""

So we can have:
* 
* 
* ",1344009
15316,13153,"Will fix -- I didn't read the ""Contributing"" file before contributing. :)",1344016
